Student_ID,Age,Gender,Parental_Education,Family_Income_Level,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Internet_Usage_Hours,Assignments_Completed,Previous_Grades,Class_Participation,Extracurricular_Activities,Stress_Level,Teacher_Feedback_Score,Absence_Days,Performance_Level,Dropout_Risk
1,18,Male,Diploma,Medium,89.2,4.1,5.2,5.3,53.0,78,10,No,10,7.0,9,Medium,No Risk
2,24,Female,Graduate,Low,69.3,2.5,7.1,0.2,98.0,84,8,No,2,5.0,5,High,No Risk
3,23,Female,High School,Low,62.2,2.7,7.4,3.8,69.0,63,4,Yes,8,1.0,8,Low,No Risk
4,21,Female,Diploma,High,90.1,,7.2,0.9,57.0,38,2,No,4,7.0,8,High,Medium Risk
5,21,Male,Diploma,Medium,88.0,4.9,8.4,4.2,68.0,74,6,No,6,4.0,7,High,No Risk
6,24,Male,Graduate,Low,79.5,6.7,5.2,2.8,69.0,69,4,Yes,9,1.0,7,High,No Risk
7,18,Female,Postgraduate,Medium,73.9,6.0,6.0,0.4,64.0,89,2,No,9,1.0,9,High,No Risk
8,23,Female,Graduate,Medium,61.9,6.3,7.5,5.1,88.0,65,4,Yes,5,2.0,13,High,No Risk
9,19,Female,Graduate,High,87.5,4.1,,0.0,91.0,63,9,No,9,3.0,8,Medium,No Risk
10,18,Female,Graduate,Medium,91.0,7.4,5.4,3.4,47.0,57,3,Yes,5,2.0,4,High,No Risk
11,22,Male,Graduate,Low,70.5,6.0,8.4,4.7,68.0,64,1,No,3,2.0,6,High,No Risk
12,25,Male,Diploma,Low,69.6,,8.9,5.8,69.0,100,3,Yes,10,4.0,7,High,No Risk
13,23,Male,,Medium,91.7,5.0,7.5,0.8,73.0,51,2,No,4,,9,Medium,No Risk
14,24,Male,Graduate,Medium,70.9,4.3,5.2,2.6,100.0,55,2,Yes,10,2.0,15,Medium,No Risk
15,23,Male,Graduate,Medium,97.6,4.6,7.2,5.3,64.0,71,5,Yes,10,4.0,9,Medium,No Risk
16,24,Female,Diploma,Medium,76.8,4.4,7.4,5.5,99.0,98,9,No,1,1.0,6,High,No Risk
17,22,Male,Postgraduate,Medium,73.7,5.2,6.7,5.7,74.0,82,4,Yes,8,3.0,10,High,No Risk
18,19,Male,Graduate,Medium,78.5,7.6,8.6,7.9,100.0,92,10,No,9,9.0,8,High,No Risk
19,24,Female,Diploma,Low,73.7,2.3,6.9,2.6,71.0,67,9,No,3,5.0,9,Medium,No Risk
20,21,Male,High School,Low,90.4,6.6,9.5,4.1,70.0,54,2,No,5,8.0,4,High,No Risk
21,22,Male,High School,Medium,87.7,3.8,7.9,2.9,76.0,66,7,No,10,5.0,7,Medium,No Risk
22,20,Female,Diploma,Medium,90.0,6.8,7.3,0.1,95.0,70,8,Yes,8,6.0,8,High,No Risk
23,19,Male,Diploma,High,80.0,3.9,8.1,3.3,78.0,72,8,No,4,2.0,10,High,No Risk
24,25,Female,High School,Low,73.0,5.2,8.8,0.1,79.0,69,3,No,4,8.0,12,High,No Risk
25,24,Female,High School,Medium,77.9,4.2,8.1,2.6,86.0,80,8,No,2,3.0,3,High,No Risk
26,23,Male,High School,Low,73.3,,6.9,1.0,63.0,63,6,Yes,10,4.0,5,Low,No Risk
27,21,Female,Graduate,Medium,94.1,7.6,6.2,4.2,81.0,60,3,No,9,3.0,6,High,No Risk
28,24,Female,Graduate,Low,89.0,2.8,5.7,2.2,67.0,56,2,Yes,8,8.0,7,Medium,No Risk
29,22,Female,Diploma,Medium,77.0,4.7,4.1,0.5,98.0,75,4,No,5,7.0,5,High,No Risk
30,21,Female,High School,Low,67.8,2.6,7.2,5.0,82.0,73,3,No,5,6.0,11,Medium,No Risk
31,21,Female,High School,Low,94.9,2.1,6.5,2.5,86.0,86,6,Yes,4,4.0,5,High,No Risk
32,19,Female,,Medium,79.5,4.1,6.6,2.8,45.0,92,5,Yes,4,1.0,9,High,No Risk
33,18,Female,Diploma,Medium,76.6,3.4,8.2,1.8,87.0,56,2,Yes,1,9.0,6,Medium,No Risk
34,22,Male,High School,Medium,95.0,2.4,6.9,5.5,73.0,72,8,No,3,7.0,9,High,No Risk
35,25,Female,Diploma,Medium,72.4,4.4,9.3,4.0,54.0,69,1,No,7,6.0,7,Medium,No Risk
36,18,Female,Postgraduate,High,74.5,1.8,6.3,2.5,77.0,52,5,Yes,3,10.0,8,Medium,No Risk
37,24,Female,Diploma,Medium,75.5,4.7,5.8,0.2,53.0,65,1,No,2,1.0,4,Medium,No Risk
38,24,Male,Graduate,Medium,63.5,4.3,5.5,7.8,85.0,92,9,No,5,3.0,9,High,No Risk
39,20,Male,High School,High,81.5,0.5,7.9,6.9,98.0,64,4,Yes,9,10.0,6,Medium,No Risk
40,23,Male,High School,Medium,69.6,3.6,8.4,6.0,49.0,62,1,Yes,4,1.0,9,Medium,No Risk
41,19,Male,Postgraduate,Medium,71.7,5.3,6.3,2.3,76.0,71,3,Yes,8,4.0,2,Medium,No Risk
42,24,Male,Diploma,Medium,70.3,2.6,5.7,2.6,74.0,84,6,Yes,7,8.0,9,Medium,No Risk
43,23,Male,Graduate,Low,71.5,5.4,8.8,4.2,46.0,68,8,No,4,6.0,9,Medium,No Risk
44,20,Male,Postgraduate,Medium,68.8,5.3,5.3,2.0,,74,2,No,7,3.0,9,High,No Risk
45,18,Female,Graduate,Medium,80.7,2.7,8.2,1.8,85.0,42,4,No,6,4.0,7,Medium,Medium Risk
